,cetes_mxn,e_E11_mxn,ml_LogisticRegression_mxn,ga_mxn
2022-09-23,708399.56,771136.34,941651.30,622993.19
2022-09-26,708645.98,753873.71,927590.14,622820.44
2022-09-27,708892.49,761577.68,931491.80,622647.73
2022-09-28,709139.08,750021.73,923733.72,622475.08
2022-09-29,709385.76,742317.76,926252.52,622302.47
2022-09-30,709632.52,747311.08,918243.73,622129.91
2022-10-03,719897.73,761444.19,932239.65,632664.50
2022-10-04,720163.03,762780.58,928861.34,633199.54
2022-10-05,720428.44,760850.27,934931.15,633735.03
2022-10-06,720693.94,759068.44,948097.39,634270.98
2022-10-07,720959.53,739765.01,946494.28,634807.38
2022-10-10,721225.23,716452.48,929462.72,635344.23
2022-10-11,721491.02,712740.27,934979.43,635881.54
2022-10-12,721756.92,722540.51,936081.99,636419.30
2022-10-13,722022.90,722095.00,942285.87,636957.51
2022-10-14,722288.99,709919.02,936382.54,637496.18
2022-10-17,722555.18,716749.44,945379.94,638035.31
2022-10-18,722821.46,713185.79,946604.78,638574.89
2022-10-19,723087.84,696258.17,942022.40,639114.93
2022-10-20,723354.32,730261.81,946879.01,639655.43
2022-10-21,723620.90,737537.74,959336.21,640196.38
2022-10-24,723887.58,735904.39,950305.50,640737.79
2022-10-25,724154.35,747634.86,955435.39,641279.66
2022-10-26,724421.23,752325.61,955909.47,641821.99
2022-10-27,724688.20,766591.31,970487.64,642364.77
2022-10-28,724955.27,752626.00,964272.02,642908.01
2022-10-31,725222.44,764038.49,970217.57,643451.72
2022-11-01,735502.95,789505.44,990216.45,654004.34
2022-11-02,735783.57,,990216.45,654557.43
2022-11-03,736064.29,803771.14,996444.64,655110.98
2022-11-04,736345.13,820139.10,1002315.53,655665.00
2022-11-07,736626.07,821040.12,1001325.62,656219.50
2022-11-08,736907.11,821040.12,1000204.17,656774.46
2022-11-09,737188.27,808876.76,994135.91,657329.89
2022-11-10,737469.53,847469.09,1007087.41,657885.79
2022-11-11,737750.90,882457.52,1028178.15,658442.16
2022-11-14,738032.37,865939.40,1015979.30,658999.00
2022-11-15,738313.96,874949.24,1003990.18,659556.31
2022-11-16,738595.65,872546.59,1013923.01,660114.09
2022-11-17,738877.45,870444.32,1012112.39,660672.35
2022-11-18,739159.35,882457.52,1015202.51,661231.07
2022-11-21,739441.37,,1015202.51,661790.27
2022-11-22,739723.49,883208.30,1016060.44,662349.95
2022-11-23,740005.72,886361.74,1020197.05,662910.09
2022-11-24,740288.06,878252.91,1018906.24,663470.71
2022-11-25,740570.50,897023.45,1013715.78,664031.80
2022-11-28,740853.05,890416.19,1011559.99,664593.37
2022-11-29,741135.71,891467.36,1017615.39,665155.41
2022-11-30,741418.48,895671.97,1021395.93,665717.93
2022-12-01,751715.18,905972.36,1030878.26,676289.38
2022-12-02,752012.00,910176.97,1030321.02,676861.32
2022-12-05,752308.93,889304.01,1027724.48,677433.73
2022-12-06,752605.98,870833.78,1020734.71,678006.63
2022-12-07,752903.15,888102.68,1034672.45,678580.02
